,boardSize,solveTime
0,1,0.0008738040924072266
1,1,0.0008530616760253906
2,1,0.0008456707000732422
3,1,0.0008759498596191406
4,1,0.0008270740509033203
5,1,0.0008530616760253906
6,1,0.0008711814880371094
7,1,0.0008451938629150391
8,1,0.0008652210235595703
9,1,0.0008580684661865234
10,2,0.0012960433959960938
11,2,0.0013320446014404297
12,2,0.0012717247009277344
13,2,0.0016252994537353516
14,2,0.0016672611236572266
15,2,0.0014200210571289062
16,2,0.0013091564178466797
17,2,0.0012810230255126953
18,2,0.0012848377227783203
19,2,0.001271963119506836
20,3,0.0017588138580322266
21,3,0.0017349720001220703
22,3,0.0017461776733398438
23,3,0.0017690658569335938
24,3,0.0017652511596679688
25,3,0.001766204833984375
26,3,0.0017480850219726562
27,3,0.0018191337585449219
28,3,0.0018107891082763672
29,3,0.0017359256744384766
30,4,0.0021979808807373047
31,4,0.0022001266479492188
32,4,0.0021860599517822266
33,4,0.0021600723266601562
34,4,0.0023250579833984375
35,4,0.0021772384643554688
36,4,0.0021219253540039062
37,4,0.002161264419555664
38,4,0.0022411346435546875
39,4,0.002176046371459961
40,5,0.0026340484619140625
41,5,0.0026738643646240234
42,5,0.0026259422302246094
43,5,0.0026388168334960938
44,5,0.002727031707763672
45,5,0.002731800079345703
46,5,0.0026788711547851562
47,5,0.0026702880859375
48,5,0.0025980472564697266
49,5,0.0026159286499023438
50,6,0.0031058788299560547
51,6,0.0030820369720458984
52,6,0.0030760765075683594
53,6,0.003149271011352539
54,6,0.003098011016845703
55,6,0.0031120777130126953
56,6,0.0031309127807617188
57,6,0.003077268600463867
58,6,0.0031130313873291016
59,6,0.003194093704223633
60,7,0.003475189208984375
61,7,0.003531217575073242
62,7,0.0035402774810791016
63,7,0.003496885299682617
64,7,0.0036318302154541016
65,7,0.0034728050231933594
66,7,0.003571033477783203
67,7,0.003579854965209961
68,7,0.0035648345947265625
69,7,0.0035250186920166016
70,8,0.00397491455078125
71,8,0.003999948501586914
72,8,0.004004240036010742
73,8,0.003986835479736328
74,8,0.0039517879486083984
75,8,0.004052877426147461
76,8,0.003962278366088867
77,8,0.004042148590087891
78,8,0.003923892974853516
79,8,0.004121065139770508
80,9,0.004470109939575195
81,9,0.004430055618286133
82,9,0.0044329166412353516
83,9,0.004426002502441406
84,9,0.004393100738525391
85,9,0.004449129104614258
86,9,0.0049610137939453125
87,9,0.004456996917724609
88,9,0.004450798034667969
89,9,0.0044519901275634766
90,10,0.004867076873779297
91,10,0.0048902034759521484
92,10,0.005005836486816406
93,10,0.0048830509185791016
94,10,0.004889965057373047
95,10,0.004900693893432617
96,10,0.0049250125885009766
97,10,0.004845142364501953
98,10,0.004918098449707031
99,10,0.004936933517456055
100,11,0.0054132938385009766
101,11,0.005378246307373047
102,11,0.005361080169677734
103,11,0.005460977554321289
104,11,0.005784034729003906
105,11,0.0054700374603271484
106,11,0.0053479671478271484
107,11,0.005352973937988281
108,11,0.005373239517211914
109,11,0.005463123321533203
110,12,0.005842924118041992
111,12,0.005766868591308594
112,12,0.005880117416381836
113,12,0.005825042724609375
114,12,0.005833864212036133
115,12,0.005754232406616211
116,12,0.005873918533325195
117,12,0.0057680606842041016
118,12,0.005868196487426758
119,12,0.005935192108154297
120,13,0.006339073181152344
121,13,0.006375789642333984
122,13,0.006339073181152344
123,13,0.006893157958984375
124,13,0.006337165832519531
125,13,0.006360054016113281
126,13,0.006350040435791016
127,13,0.00677490234375
128,13,0.006321907043457031
129,13,0.0064198970794677734
130,14,0.006884098052978516
131,14,0.00718379020690918
132,14,0.007173061370849609
133,14,0.006886959075927734
134,14,0.006830930709838867
135,14,0.007129192352294922
136,14,0.006788015365600586
137,14,0.007232666015625
138,14,0.0069429874420166016
139,14,0.006811857223510742
140,15,0.009244918823242188
141,15,0.00748896598815918
142,15,0.007230043411254883
143,15,0.0073299407958984375
144,15,0.007816791534423828
145,15,0.00793910026550293
146,15,0.007715940475463867
147,15,0.0074291229248046875
148,15,0.007191896438598633
149,15,0.007326841354370117
150,16,0.007909297943115234
151,16,0.008098840713500977
152,16,0.007730245590209961
153,16,0.010167121887207031
154,16,0.007930994033813477
155,16,0.008095026016235352
156,16,0.00911712646484375
157,16,0.0077631473541259766
158,16,0.00837397575378418
159,16,0.007708072662353516
160,17,0.008337974548339844
161,17,0.008417844772338867
162,17,0.00811314582824707
163,17,0.008397817611694336
164,17,0.008283138275146484
165,17,0.008299112319946289
166,17,0.009179830551147461
167,17,0.008595943450927734
168,17,0.008359909057617188
169,17,0.008555889129638672
170,18,0.009749889373779297
171,18,0.013720035552978516
172,18,0.009576082229614258
173,18,0.008684635162353516
174,18,0.009274959564208984
175,18,0.009064197540283203
176,18,0.00884389877319336
177,18,0.008863210678100586
178,18,0.009432077407836914
179,18,0.009391069412231445
180,19,0.00916910171508789
181,19,0.009264230728149414
182,19,0.009640216827392578
183,19,0.009125232696533203
184,19,0.009473800659179688
185,19,0.010190248489379883
186,19,0.009190082550048828
187,19,0.014251947402954102
188,19,0.009297847747802734
189,19,0.010396957397460938
190,20,0.010180950164794922
191,20,0.010897159576416016
192,20,0.009707212448120117
193,20,0.009585857391357422
194,20,0.009547948837280273
195,20,0.009616851806640625
196,20,0.011204957962036133
197,20,0.009686946868896484
198,20,0.010635852813720703
199,20,0.009696006774902344
200,21,0.011055707931518555
201,21,0.012629032135009766
202,21,0.010010957717895508
203,21,0.010200023651123047
204,21,0.012578964233398438
205,21,0.010120868682861328
206,21,0.010172128677368164
207,21,0.010806083679199219
208,21,0.010193347930908203
