,boardSize,conflicts,success,steps
74,8,"[38, 34, 30, 28, 20, 16, 16, 16, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 50, 44, 38, 32, 26, 20, 14, 6, 0]",True,41
75,8,"[36, 30, 24, 18, 12, 6, 0]",True,7
76,8,"[40, 40, 38, 34, 34, 34, 28, 22, 16, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0]",True,23
77,8,"[48, 42, 36, 30, 24, 18, 12, 6, 0]",True,9
78,8,"[44, 38, 32, 26, 18, 12, 6, 0]",True,8
79,8,"[42, 36, 30, 24, 18, 12, 6, 0]",True,8
80,9,"[46, 40, 34, 30, 24, 18, 12, 12, 6, 0]",True,10
81,9,"[36, 32, 26, 20, 14, 12, 6, 0]",True,8
82,9,"[58, 52, 44, 38, 32, 24, 18, 12, 6, 0]",True,10
83,9,"[50, 46, 40, 36, 30, 24, 18, 12, 6, 0]",True,10
84,9,"[54, 48, 42, 36, 24, 18, 12, 6, 6, 6, 0]",True,11
85,9,"[46, 44, 38, 32, 26, 20, 18, 12, 6, 0]",True,10
86,9,"[38, 32, 26, 20, 16, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 38, 36, 30, 24, 24, 18, 18, 18, 18, 12, 6, 0]",True,48
87,9,"[36, 32, 26, 26, 22, 16, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 50, 44, 38, 34, 34, 28, 22, 22, 16, 16, 16, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 42, 42, 36, 36, 30, 24, 24, 18, 14, 14, 14, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,109
88,9,"[42, 34, 30, 24, 18, 12, 6, 0]",True,8
89,9,"[52, 46, 36, 34, 34, 34, 28, 22, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 46, 42, 42, 42, 36, 30, 24, 24, 24, 24, 24, 18, 18, 12, 6, 6, 0]",True,48
90,10,"[44, 38, 36, 36, 34, 28, 22, 18, 16, 14, 12, 6, 0]",True,13
91,10,"[58, 52, 44, 38, 32, 32, 32, 26, 20, 12, 6, 0]",True,12
92,10,"[60, 54, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,11
93,10,"[64, 58, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,11
94,10,"[38, 36, 32, 28, 28, 26, 20, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 52, 44, 40, 36, 32, 26, 26, 20, 18, 12, 12, 6, 6, 6, 6, 6, 0]",True,56
95,10,"[48, 42, 38, 34, 30, 30, 24, 18, 12, 6, 0]",True,11
96,10,"[66, 58, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,11
97,10,"[58, 52, 48, 38, 32, 28, 22, 16, 10, 6, 0]",True,11
98,10,"[56, 48, 42, 36, 34, 34, 34, 28, 22, 16, 10, 6, 0]",True,13
99,10,"[40, 38, 32, 30, 24, 18, 14, 8, 6, 0]",True,10
100,11,"[54, 48, 42, 34, 28, 24, 24, 20, 20, 20, 20, 20, 16, 16, 16, 16, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 60, 54, 48, 44, 38, 32, 26, 18, 12, 6, 0]",True,52
101,11,"[62, 56, 52, 46, 46, 36, 36, 28, 28, 28, 26, 20, 20, 20, 20, 14, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 56, 52, 46, 40, 36, 26, 20, 20, 20, 20, 14, 14, 14, 14, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 60, 54, 50, 50, 40, 34, 28, 22, 22, 22, 22, 16, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 34, 28, 28, 28, 22, 22, 22, 16, 16, 16, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 54, 44, 40, 38, 36, 30, 24, 18, 12, 6, 0]",True,164
102,11,"[50, 48, 42, 42, 42, 38, 34, 28, 22, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 58, 52, 46, 46, 46, 42, 38, 38, 32, 32, 28, 28, 22, 16, 16, 16, 16, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 46, 40, 36, 30, 28, 24, 20, 20, 20, 20, 20, 14, 8, 8, 6, 0]",True,89
103,11,"[70, 62, 54, 48, 40, 34, 28, 22, 18, 12, 6, 0]",True,12
104,11,"[60, 52, 46, 42, 36, 30, 24, 18, 18, 12, 6, 6, 6, 0]",True,14
105,11,"[66, 62, 56, 50, 46, 38, 32, 24, 18, 12, 6, 0]",True,12
106,11,"[54, 50, 44, 38, 34, 28, 22, 16, 10, 6, 0]",True,11
107,11,"[60, 52, 42, 42, 38, 32, 26, 26, 26, 26, 20, 18, 18, 16, 16, 10, 10, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 58, 56, 50, 44, 40, 34, 24, 18, 12, 6, 0]",True,54
108,11,"[54, 48, 42, 38, 38, 38, 36, 30, 24, 18, 12, 6, 0]",True,13
109,11,"[50, 44, 38, 32, 26, 20, 14, 12, 6, 6, 6, 0]",True,12
110,12,"[46, 42, 40, 34, 30, 30, 24, 24, 18, 12, 12, 6, 0]",True,13
111,12,"[54, 48, 44, 42, 36, 36, 36, 30, 30, 28, 22, 20, 14, 12, 12, 6, 0]",True,17
112,12,"[60, 54, 52, 48, 44, 38, 38, 38, 32, 32, 30, 24, 20, 20, 16, 16, 16, 16, 16, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 56, 50, 42, 36, 30, 24, 22, 16, 16, 12, 6, 0]",True,54
113,12,"[62, 56, 50, 44, 40, 40, 34, 24, 18, 12, 6, 0]",True,12
114,12,"[62, 56, 56, 48, 42, 34, 34, 34, 34, 34, 34, 30, 26, 22, 18, 18, 18, 18, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 64, 58, 56, 54, 54, 48, 48, 46, 42, 42, 36, 30, 30, 30, 22, 20, 14, 8, 6, 0]",True,63
115,12,"[64, 58, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,11
116,12,"[56, 52, 44, 38, 34, 28, 24, 24, 18, 12, 12, 6, 0]",True,13
117,12,"[62, 56, 52, 46, 40, 34, 34, 34, 34, 30, 30, 30, 26, 20, 14, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 56, 54, 50, 42, 36, 30, 26, 24, 20, 18, 12, 6, 0]",True,53
118,12,"[70, 62, 58, 50, 44, 40, 34, 34, 28, 24, 14, 12, 6, 0]",True,14
119,12,"[64, 58, 54, 44, 42, 42, 36, 30, 30, 26, 26, 26, 20, 20, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 54, 48, 42, 36, 30, 24, 18, 12, 6, 0]",True,46
120,13,"[76, 66, 58, 56, 50, 46, 38, 32, 26, 20, 18, 12, 6, 0]",True,14
121,13,"[56, 50, 50, 46, 40, 38, 34, 28, 22, 20, 20, 20, 14, 14, 14, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 62, 60, 54, 48, 42, 36, 30, 24, 24, 18, 12, 6, 0]",True,53
122,13,"[74, 68, 62, 50, 44, 42, 38, 32, 26, 26, 24, 24, 24, 24, 22, 16, 16, 16, 16, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 56, 54, 44, 38, 32, 26, 18, 12, 6, 0]",True,54
123,13,"[62, 56, 50, 44, 38, 32, 26, 24, 18, 12, 6, 0]",True,12
124,13,"[66, 60, 54, 52, 48, 44, 38, 38, 32, 30, 30, 24, 18, 18, 18, 18, 12, 6, 0]",True,19
125,13,"[58, 56, 50, 48, 42, 42, 36, 36, 32, 24, 24, 24, 24, 18, 18, 18, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 70, 66, 62, 58, 58, 52, 50, 40, 38, 32, 26, 18, 12, 6, 0]",True,52
126,13,"[56, 52, 48, 46, 46, 44, 40, 32, 26, 20, 16, 16, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 80, 74, 68, 62, 52, 46, 40, 36, 28, 22, 22, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 64, 58, 52, 46, 42, 42, 40, 34, 34, 34, 28, 24, 24, 22, 22, 22, 22, 22, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 70, 66, 66, 60, 58, 50, 46, 42, 40, 36, 30, 24, 18, 12, 6, 0]",True,129
127,13,"[66, 58, 52, 46, 40, 36, 36, 32, 28, 26, 20, 16, 16, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 56, 52, 44, 42, 42, 42, 42, 40, 40, 38, 32, 26, 22, 22, 22, 18, 16, 16, 16, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 78, 74, 66, 62, 58, 50, 40, 40, 34, 28, 22, 16, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 62, 60, 54, 46, 44, 38, 32, 24, 18, 12, 6, 0]",True,132
128,13,"[44, 38, 36, 34, 30, 30, 28, 28, 24, 20, 20, 20, 20, 14, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 66, 60, 54, 48, 42, 36, 30, 30, 24, 18, 12, 6, 6, 0]",True,53
129,13,"[74, 68, 66, 64, 54, 46, 40, 30, 24, 18, 14, 10, 10, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 58, 50, 46, 40, 38, 32, 30, 26, 26, 22, 22, 16, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 66, 62, 60, 56, 48, 42, 36, 32, 32, 30, 24, 18, 12, 6, 0]",True,86
130,14,"[72, 66, 62, 56, 50, 46, 40, 34, 30, 24, 24, 24, 18, 18, 18, 18, 18, 12, 6, 0]",True,20
